movie_id,movie_name,director,star,genre
tt14643262,Noda Hitam Dalam Pelukan,Dom Dharmo#Revo Marty,,crime
tt1262426,Wicked,Jon M. Chu,Michelle Yeoh#Jeff Goldblum#Jonathan Bailey#Cynthia Erivo,family
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,family
tt6208148,Snow White,Marc Webb,Gal Gadot#Rachel Zegler#Andrew Burnap#Luisa Guerreiro,family
tt1197627,National Treasure 3,Ray Gaspard,,family
tt21692408,Kung Fu Panda 4,Angelina Jolie#Seth Rogen#Jackie Chan#James Hong,,family
tt13186482,Mufasa: The Lion King,Barry Jenkins,Seth Rogen#Billy Eichner#Kelvin Harrison Jr.#Aaron Pierre,family
tt5779228,Garfield,Mark Dindal,Nicholas Hoult#Hannah Waddingham#Chris Pratt#Cecily Strong,family
tt11152168,Imaginary Friends,John Krasinski,Ryan Reynolds#John Krasinski#Steve Carell#Phoebe Waller-Bridge,family
tt22022452,Inside Out 2,Kelsey Mann,Diane Lane#Amy Poehler#Phyllis Smith#Lewis Black,family
tt11655566,Lilo & Stitch,Dean Fleischer Camp,Chris Sanders,family
tt9413018,Sister Act 3: Kicking the Habit,Tim Federle,Kathy Najimy#Keke Palmer#Whoopi Goldberg#Wendy Makkena,family
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,family
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Bowen Yang,family
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,family
tt4900148,Elio,Adrian Molina,America Ferrera#Yonas Kibreab,family
tt7510222,Despicable Me 4,Chris Renaud#Patrick Delage,Steve Carell#Kristen Wiig#Miranda Cosgrove#Steve Coogan,family
tt9613354,The Hunchback of Notre Dame,,,family
tt9664112,Detective Pikachu 2,,,family
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Mason Vale Cotton#Richard Steven Horvitz,family
tt1167480,Flanimals,,,family
tt5821450,Hump,Peter Dodd#Amin Matalqa,Simon Pegg#Gaten Matarazzo#Ramy Youssef,family
tt10826586,Touch,Lauren Sesselmann,,family
tt25816502,Little Saigon,McFloyd Nguyen,Hong Dao#Van Hong,family
tt5043784,Diamond Rose,Thadd Turner,Joey Lawrence#Ryan Merriman#Andrew Lawrence#Lisa Stewart,family
tt5880374,1000: The Sword in the Stone,Guido Maria Giordano,Kincso Nora Petho#Imola Gáspár#Carmine Iacono#Marco Lorenzo Valle,family
tt26469339,The Zone Action: The Movie,Dan Petronijevic#Rachel Wilson#Sarah Podemski#Scott McCord,,family
tt9326738,Heaven is Home,Ken Girotti#Ron Oliver,Heather Donahue#Troy Daniel Geiger#Keller Gambill,family
tt23752846,Artek. Bolshoe puteshestvie. 1812,Karen Zaharov,Mikhail Galustyan#Aleksey Onezhen#Lyudmila Artemeva#Liza Moryak,family
tt23736870,Palma 2,Aleksandr Domogarov,Viktor Dobronravov#Valeriya Fedorovich#Evgeniya Dmitrieva#Vladimir Ilin,family
tt20969586,Thunderbolts,Jake Schreier,Harrison Ford#Florence Pugh#Julia Louis-Dreyfus#Olga Kurylenko,fantasy
tt1757678,Avatar 3,James Cameron,Michelle Yeoh#Zoe Saldana#Sam Worthington#Oona Chaplin,fantasy
tt1262426,Wicked,Jon M. Chu,Michelle Yeoh#Jeff Goldblum#Jonathan Bailey#Cynthia Erivo,fantasy
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,fantasy
tt10671440,Blade,Yann Demange,Mahershala Ali#Delroy Lindo#Aaron Pierre,fantasy
tt6208148,Snow White,Marc Webb,Gal Gadot#Rachel Zegler#Andrew Burnap#Luisa Guerreiro,fantasy
